"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "Markdown", "C++", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\.idea\TI-Project3-4.iml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\API\index.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 9, 25, 137
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\API\modules\createDBConnectionViaSSH.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 2, 7, 41
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\API\modules\updateCustomerBalance.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\API\modules\validationFunctions.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 1, 10, 63
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\API\package-lock.json", "JSON", 0, 0, 0, 899, 0, 0, 0, 0, 1, 900
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\API\package.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 4, 5, 21
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 12, 19, 90
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection\cashModules\cashCombination.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 6, 18, 108
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection\cashModules\validateIncomingAmount.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 3, 6, 56
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection\databaseConnectionModule\createDBConnectionViaSSH.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 2, 7, 41
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection\handleSerialConnection.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 4, 11, 67
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection\handleSerialConnection\handleGeldOpnemen.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 1, 3, 32
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection\handleSerialConnection\handleIncomingUID.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 4, 5, 68
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection\handleSerialConnection\handlePincodeData.js", "JavaScript", 144, 0, 0, 0, 0, 0, 0, 5, 25, 174
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection\handleWebSocketData.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 2, 2, 47
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection\handleWebSocketData\handleGeldOpnemen.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 6, 20, 110
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection\handleWebSocketData\handleReceipt.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 1, 9, 63
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection\handleWebSocketData\handleSnelpinnen.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 1, 6, 42
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection\handleWebSocketData\handleUitloggen.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 9, 54
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\modules\handleWebSocketConnection\handleWebSocketData\handleUserData.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 6, 56
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\package-lock.json", "JSON", 0, 0, 0, 2225, 0, 0, 0, 0, 1, 2226
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\package.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\public\app.js", "JavaScript", 439, 0, 0, 0, 0, 0, 0, 4, 59, 502
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\public\index.html", "HTML", 0, 0, 197, 0, 0, 0, 0, 23, 3, 223
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\GUI\public\style.css", "CSS", 0, 412, 0, 0, 0, 0, 0, 0, 1, 413
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\Microcontroller\SerialInterface\SerialInterface.ino", "C++", 0, 0, 0, 0, 0, 198, 0, 21, 58, 277
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\Microcontroller\writeDataToBlocks\writeDataToBlocks.ino", "C++", 0, 0, 0, 0, 0, 110, 0, 30, 21, 161
"c:\Users\User\Desktop\Hogeschool\Projecten\Project34\Code\Git-BankServer\TI-Project3-4\README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 4, 6
"Total", "-", 1457, 412, 197, 3166, 2, 308, 22, 141, 345, 6050